Orthogroup	kog_elegans_pos_go	protein_mansoni
OG0001107	NP_491857.1	6183.Smp_014660.2
OG0001108	NP_491199.2	6183.Smp_104670.1
OG0001109	NP_493376.1	6183.Smp_139340.1
OG0001110	NP_492108.1	6183.Smp_020080.1
OG0001111	NP_509888.1	6183.Smp_062680.1
OG0001112	NP_503397.1	6183.Smp_210430.1
OG0001113	NP_506245.1	6183.Smp_017290.3
OG0001114	NP_495984.2	6183.Smp_069900.1
OG0001115	NP_498993.1	6183.Smp_163580.1
OG0001116	NP_499369.1	6183.Smp_079430.2
OG0001117	NP_510572.1	6183.Smp_004910.1
OG0001118	NP_507083.1, NP_507084.1	
OG0001119	NP_503068.1	6183.Smp_106930.1
OG0001120	NP_498868.1	6183.Smp_069130.2
OG0001121	NP_495249.1	6183.Smp_088950.1
OG0001122	NP_496441.1	6183.Smp_036270.2
OG0001123	NP_499734.1	6183.Smp_079730.1
OG0001124	NP_502432.1	6183.Smp_141240.1
OG0001125	NP_493659.3	6183.Smp_032060.1
OG0001126	NP_506222.2	6183.Smp_064640.1
OG0001127	NP_495036.3	6183.Smp_144860.1
OG0001128	NP_503033.1	6183.Smp_021540.1
OG0001129	NP_497841.1	6183.Smp_138880.1
OG0001130	NP_495237.1	6183.Smp_170230.1
OG0001131	NP_497077.2	6183.Smp_133470.1
OG0001132	NP_502136.1	6183.Smp_078240.1
OG0001133	NP_499051.3	6183.Smp_012950.1
OG0001134	NP_491680.2	6183.Smp_070360.1
OG0001135	NP_495681.4	6183.Smp_135570.1
OG0001136	NP_491403.1	6183.Smp_148120.1
OG0001137	NP_501452.1	6183.Smp_122930.1
OG0001138	NP_496057.1	6183.Smp_194950.1
OG0001139	NP_492912.1	6183.Smp_133940.1
OG0001140	NP_498648.1	6183.Smp_161730.1
OG0001141	NP_502014.2	6183.Smp_025130.1
OG0001142	NP_508504.2	6183.Smp_046060.1
OG0001143	NP_506065.2	6183.Smp_085540.6
OG0001144	NP_501227.1	6183.Smp_051210.1
OG0001145	NP_499523.3	6183.Smp_018430.1
OG0001146	NP_493271.1	6183.Smp_073410.1
OG0001147	NP_500125.2	6183.Smp_034490.1
OG0001148	NP_493558.1	6183.Smp_164840.1
OG0001149	NP_492765.1	6183.Smp_032580.2
OG0001150	NP_491261.1	6183.Smp_074500.2
OG0001151	NP_498806.1	6183.Smp_025800.1
OG0001152	NP_494913.1	6183.Smp_121430.2
OG0001153	NP_505750.1	6183.Smp_067890.1
OG0001154	NP_506571.1	6183.Smp_207080.1
OG0001155	NP_492360.1	6183.Smp_076230.1
OG0001156	NP_496177.2	6183.Smp_092280.1
OG0001157	NP_492354.1	6183.Smp_056500.1
OG0001158	NP_502669.2	6183.Smp_170690.1
OG0001159	NP_491795.1	6183.Smp_055050.1
OG0001160	NP_491281.1	6183.Smp_038240.1
OG0001161	NP_491995.1	6183.Smp_079770.1
OG0001162	NP_497139.1	6183.Smp_079760.1
OG0001163	NP_494807.1	6183.Smp_139480.1
OG0001164	NP_493502.1	6183.Smp_212730.1
OG0001165	NP_510783.2	6183.Smp_164930.1
OG0001166	NP_499385.3	6183.Smp_136710.1
OG0001167	NP_506269.1	6183.Smp_015020.1
OG0001168	NP_504328.1, NP_505083.1	
OG0001169	NP_500161.1	6183.Smp_137170.1
OG0001170	NP_499363.3	6183.Smp_181230.1
OG0001171	NP_502165.2	6183.Smp_164540.1
OG0001172	NP_503858.1	6183.Smp_091650.1
OG0001173	NP_498162.2	6183.Smp_172280.1
OG0001174	NP_492215.1	6183.Smp_180010.1
OG0001175	NP_497853.1	6183.Smp_141630.1
OG0001176	NP_498047.2	6183.Smp_130680.1
OG0001177	NP_498192.2	6183.Smp_153760.2
OG0001178	NP_492476.1	6183.Smp_140690.1
OG0001179	NP_491163.1	6183.Smp_042670.2
OG0001180	NP_491202.1	6183.Smp_199070.1
OG0001181	NP_495451.1	6183.Smp_172620.1
OG0001182	NP_502531.1	6183.Smp_153710.1
OG0001183	NP_505512.3, NP_505691.2	
OG0001184	NP_498090.1	6183.Smp_103990.1
OG0001185	NP_502290.1	6183.Smp_076880.1
OG0001186	NP_491576.2	6183.Smp_124970.1
OG0001187	NP_499165.1	6183.Smp_062890.1
OG0001188	NP_495659.1	6183.Smp_064350.1
OG0001189	NP_491530.1	6183.Smp_015710.1
OG0001190	NP_502054.2, NP_509122.2	
OG0001191	NP_498069.1	6183.Smp_198590.1
OG0001192	NP_491227.1	6183.Smp_162260.1
OG0001193	NP_510355.1	6183.Smp_123750.1
OG0001194	NP_500523.4	6183.Smp_156670.1
OG0001195	NP_492169.2	6183.Smp_160940.1
OG0001196	NP_492552.1	6183.Smp_068950.1
OG0001197	NP_492124.1	6183.Smp_171670.1
OG0001198	NP_510394.1	6183.Smp_046750.1
OG0001199	NP_498151.2	6183.Smp_152230.1
OG0001200	NP_493745.1	6183.Smp_000600.1
OG0001201	NP_492363.1	6183.Smp_169060.1
OG0001202	NP_495285.1	6183.Smp_099930.1
OG0001203	NP_510361.1	6183.Smp_171200.1
OG0001204	NP_492072.2	6183.Smp_075130.1
OG0001205	NP_506417.1	6183.Smp_018710.1
OG0001206	NP_491069.1	6183.Smp_142910.1
OG0001207	NP_499755.1	6183.Smp_129340.1
OG0001208	NP_498204.1	6183.Smp_144870.1
OG0001209	NP_496146.1	6183.Smp_017750.1
OG0001210	NP_498091.1	6183.Smp_022660.1
OG0001211	NP_499553.1	6183.Smp_021870.1
OG0001212	NP_496075.1	6183.Smp_132020.1
OG0001213	NP_490990.2	6183.Smp_045070.1
OG0001214	NP_501262.1	6183.Smp_141520.1
OG0001215	NP_491655.1	6183.Smp_040450.1
OG0001216	NP_494926.1	6183.Smp_049890.1
OG0001217	NP_496100.1	6183.Smp_050470.1
OG0001218	NP_506685.2	6183.Smp_125760.1
OG0001219	NP_492423.2	6183.Smp_131560.1
OG0001220	NP_498646.1	6183.Smp_211330.1
OG0001221	NP_491703.1	6183.Smp_034190.1
OG0001222	NP_499069.1	6183.Smp_090440.1
OG0001223	NP_498260.2	6183.Smp_093690.2
OG0001224	NP_491113.1	6183.Smp_033710.1
OG0001225	NP_490891.2	6183.Smp_146340.1
OG0001226	NP_497743.1	6183.Smp_131770.1
OG0001227	NP_492779.1	6183.Smp_094020.1
OG0001228	NP_492326.1	6183.Smp_047110.1
OG0001229	NP_491652.1	6183.Smp_131360.1
OG0001230	NP_500004.2	6183.Smp_163110.1
OG0001231	NP_498690.2	6183.Smp_210260.1
OG0001232	NP_502390.2	6183.Smp_056620.1
OG0001233	NP_496536.1	6183.Smp_065840.1
OG0001234	NP_497429.1	6183.Smp_008545.1
OG0001235	NP_495750.1	6183.Smp_004600.1
OG0001236	NP_495722.1	6183.Smp_017360.1
OG0001237	NP_503522.1	6183.Smp_149900.1
OG0001238	NP_500035.3	6183.Smp_046090.2
OG0001239	NP_494218.2	6183.Smp_041740.1
OG0001240	NP_499603.1	6183.Smp_030710.1
OG0001241	NP_496276.1, NP_496754.2	
OG0001242	NP_496117.1, NP_496167.1	
OG0001243	NP_501356.2, NP_502500.3	
OG0001244	NP_501992.2, NP_502041.1	
OG0001245	NP_500563.2, NP_506632.2	
OG0001246	NP_501125.1, NP_506574.3	
OG0001247	NP_499527.1, NP_499528.1	
OG0001248	NP_502650.1, NP_504432.3	
OG0001249	NP_501103.1	6183.Smp_011570.1
OG0001250	NP_493178.1	6183.Smp_173650.1
OG0001251	NP_510140.1	6183.Smp_079650.1
OG0001252	NP_491994.2	6183.Smp_041760.1
OG0001253	NP_491426.2	6183.Smp_130470.1
OG0001254	NP_502082.1	6183.Smp_158050.1
OG0001255	NP_499301.2	6183.Smp_022310.1
OG0001256	NP_492438.1	6183.Smp_194820.1
OG0001257	NP_496802.2	6183.Smp_158610.2
OG0001258	NP_495598.1	6183.Smp_082810.2
OG0001259	NP_500363.1	6183.Smp_062300.1
OG0001260	NP_502959.1	6183.Smp_072140.1
OG0001261	NP_496549.1	6183.Smp_067140.1
OG0001262	NP_501549.1	6183.Smp_071250.1
OG0001263	NP_502213.3	6183.Smp_179910.1
OG0001264	NP_490735.3, NP_505105.2	
OG0001265	NP_493416.1	6183.Smp_008470.2
OG0001266	NP_498393.1	6183.Smp_096750.1
OG0001267	NP_496957.1	6183.Smp_105320.1
OG0001268	NP_498572.1	6183.Smp_053830.1
OG0001269	NP_506131.1	6183.Smp_129420.1
OG0001270	NP_499379.2	6183.Smp_131070.1
OG0001271	NP_492343.2	6183.Smp_209050.1
OG0001272	NP_500245.3	6183.Smp_145350.1
OG0001273	NP_502065.1	6183.Smp_068000.1
OG0001274	NP_500272.2	6183.Smp_083400.1
OG0001275	NP_493024.1	6183.Smp_027370.1
OG0001276	NP_499133.1	6183.Smp_028100.1
OG0001277	NP_490882.3	6183.Smp_055960.1
OG0001278	NP_500531.2, NP_502747.1	
OG0001279	NP_493377.1	6183.Smp_097590.1
OG0001280	NP_497837.1	6183.Smp_194160.1
OG0001281	NP_499987.2	6183.Smp_199450.1
OG0001282	NP_494779.1	6183.Smp_176200.2
OG0001283	NP_496498.1	6183.Smp_153770.1
OG0001284	NP_498913.2	6183.Smp_165930.1
OG0001285	NP_491442.1	6183.Smp_196250.1
OG0001286	NP_495986.3	6183.Smp_028120.1
OG0001287	NP_495161.1	6183.Smp_132620.2
OG0001288	NP_500617.1	6183.Smp_044970.1
OG0001289	NP_509898.1	6183.Smp_063090.1
OG0001290	NP_497623.1	6183.Smp_073500.2
OG0001291	NP_503137.1	6183.Smp_169280.1
OG0001292	NP_490960.1	6183.Smp_095150.1
OG0001293	NP_497961.1	6183.Smp_094880.1
OG0001294	NP_506022.1	6183.Smp_058360.1
OG0001295	NP_495940.1	6183.Smp_071970.1
OG0001296	NP_490962.1	6183.Smp_172530.1
OG0001297	NP_506706.1	6183.Smp_037590.1
OG0001298	NP_497858.1	6183.Smp_143490.1
OG0001299	NP_491393.1	6183.Smp_124010.1
OG0001300	NP_499573.1	6183.Smp_087070.1
OG0001301	NP_498695.1	6183.Smp_081620.1
OG0001302	NP_491668.1	6183.Smp_142560.1
OG0001303	NP_508669.1	6183.Smp_144120.1
OG0001304	NP_495392.1	6183.Smp_152980.1
OG0001305	NP_509648.1	6183.Smp_144380.1
OG0001306	NP_498251.1	6183.Smp_017020.1
OG0001307	NP_507525.1	6183.Smp_164470.1
OG0001308	NP_505849.2	6183.Smp_011990.1
OG0001309	NP_492427.3	6183.Smp_155040.1
OG0001310	NP_499033.1	6183.Smp_194700.1
OG0001311	NP_503402.3	6183.Smp_148670.1
OG0001312	NP_492575.1, NP_510540.1	
OG0001313	NP_503525.2	6183.Smp_125690.1
OG0001314	NP_492839.4, NP_510491.2	
OG0001315	NP_495994.1	6183.Smp_143370.1
OG0001316	NP_495675.1	6183.Smp_147040.1
OG0001317	NP_500824.1	6183.Smp_175780.1
OG0001318	NP_500889.2	6183.Smp_136530.1
OG0001319	NP_498030.1	6183.Smp_069840.1
OG0001320	NP_509647.1	6183.Smp_198970.1
OG0001321	NP_491201.3, NP_501497.2	
OG0001322	NP_494276.2	6183.Smp_129770.1
OG0001323	NP_494795.2	6183.Smp_148400.1
OG0001324	NP_498374.1	6183.Smp_093220.1
OG0001325	NP_501878.1	6183.Smp_059790.2
OG0001326	NP_500340.1	6183.Smp_002510.1
OG0001327	NP_510439.1	6183.Smp_179780.1
OG0001328	NP_500367.1	6183.Smp_208010.1
OG0001329	NP_495653.1	6183.Smp_046020.1
OG0001330	NP_498101.2	6183.Smp_090070.1
OG0001331	NP_509042.1	6183.Smp_008450.1
OG0001332	NP_510335.2	6183.Smp_066010.2
OG0001333	NP_495339.1	6183.Smp_068120.1
OG0001334	NP_495087.1	6183.Smp_155480.1
OG0001335	NP_494893.1	6183.Smp_065980.1
OG0001336	NP_499478.2	6183.Smp_169030.1
OG0001337	NP_499089.1	6183.Smp_053510.1
OG0001338	NP_504700.2	6183.Smp_104330.1
OG0001339	NP_502129.1	6183.Smp_052810.1
OG0001340	NP_496279.1	6183.Smp_056370.1
OG0001341	NP_508565.3, NP_508570.4	
OG0001342	NP_493586.1	6183.Smp_018610.1
OG0001343	NP_502296.1	6183.Smp_133540.1
OG0001344	NP_491036.1	6183.Smp_009600.1
OG0001345	NP_491714.1	6183.Smp_135360.1
OG0001346	NP_491087.1	6183.Smp_026510.1
OG0001347	NP_507517.2	6183.Smp_131800.1
OG0001348	NP_496679.3	6183.Smp_094190.1
OG0001349	NP_492786.1, NP_502595.1	
OG0001350	NP_510710.2	6183.Smp_142990.1
OG0001351	NP_498178.3	6183.Smp_009800.1
OG0001352	NP_510080.2	6183.Smp_097940.1
OG0001353	NP_507869.1	6183.Smp_157350.1
OG0001354	NP_499447.2	6183.Smp_136750.1
OG0001355	NP_496058.1, NP_496095.1	
OG0001356	NP_492319.2	6183.Smp_017900.1
OG0001357	NP_495860.1	6183.Smp_053560.1
OG0001358	NP_508627.5	6183.Smp_103570.1
OG0001359	NP_492699.1, NP_510105.1	
OG0001360	NP_504599.2	6183.Smp_158560.1
OG0001361	NP_500141.1	6183.Smp_168670.1
OG0001362	NP_508060.1	6183.Smp_171370.1
OG0001363	NP_497716.1	6183.Smp_114090.1
OG0001364	NP_505402.1, NP_510424.4	
OG0001365	NP_491084.1	6183.Smp_049600.4
OG0001366	NP_494886.1	6183.Smp_180530.1
OG0001367	NP_493031.1	6183.Smp_068270.4
OG0001368	NP_495743.1	6183.Smp_171580.1
OG0001369	NP_490909.2	6183.Smp_078400.1
OG0001370	NP_508875.1	6183.Smp_007960.1
OG0001371	NP_491932.1	6183.Smp_150080.1
OG0001372	NP_495822.1	6183.Smp_045250.1
OG0001373	NP_505664.2	6183.Smp_166080.2
OG0001374	NP_490988.2	6183.Smp_006000.1
OG0001375	NP_493247.2	6183.Smp_018400.1
OG0001376	NP_492650.1	6183.Smp_060170.1
OG0001377	NP_496956.1	6183.Smp_135120.1
OG0001378	NP_491672.1	6183.Smp_042270.2
OG0001379	NP_498175.1, NP_498176.1	
OG0001380	NP_500338.2, NP_506221.3	
OG0001381	NP_496192.1, NP_496237.1	
OG0001382	NP_508534.3	6183.Smp_056970.1
OG0001383	NP_492367.1, NP_492689.1	
OG0001384	NP_491474.1, NP_492668.2	
OG0001385	NP_502232.2	6183.Smp_090980.1
OG0001386	NP_499783.1	6183.Smp_073340.1
OG0001387	NP_492357.2	6183.Smp_156990.1
OG0001388	NP_492811.1	6183.Smp_099030.1
OG0001389	NP_506341.1	6183.Smp_027210.1
OG0001390	NP_491532.3	6183.Smp_200410.1
OG0001391	NP_504575.1	6183.Smp_030370.1
OG0001392	NP_499176.1	6183.Smp_043150.1
OG0001393	NP_501314.2	6183.Smp_093230.1
OG0001394	NP_508841.1	6183.Smp_183710.1
OG0001395	NP_497108.2	6183.Smp_072870.1
OG0001396	NP_505657.1	6183.Smp_101290.2
OG0001397	NP_491066.1	6183.Smp_210740.1
OG0001398	NP_500801.2	6183.Smp_063040.1
OG0001399	NP_509012.2	6183.Smp_091460.1
OG0001400	NP_501632.1	6183.Smp_052870.1
OG0001401	NP_510357.3	6183.Smp_073930.1
OG0001402	NP_495011.1	6183.Smp_096310.1
OG0001403	NP_496370.2	6183.Smp_147870.1
OG0001404	NP_491357.1	6183.Smp_087980.1
OG0001405	NP_498761.2	6183.Smp_169750.1
OG0001406	NP_499364.1	6183.Smp_142850.1
OG0001407	NP_492310.1	6183.Smp_152370.1
OG0001408	NP_491243.1	6183.Smp_016880.1
OG0001409	NP_501805.2	6183.Smp_137910.1
OG0001410	NP_491897.2	6183.Smp_144890.1
OG0001411	NP_493027.1	6183.Smp_070710.1
OG0001412	NP_493570.1	6183.Smp_035200.4
OG0001413	NP_502122.1	6183.Smp_132870.1
OG0001414	NP_498155.3	6183.Smp_022330.1
OG0001415	NP_498902.1	6183.Smp_096010.1
OG0001416	NP_499759.2	6183.Smp_172510.1
OG0001417	NP_494872.2	6183.Smp_146900.1
OG0001418	NP_495944.1	6183.Smp_083450.1
OG0001419	NP_493464.1	6183.Smp_145670.1
OG0001420	NP_491662.1	6183.Smp_151650.1
OG0001421	NP_498949.2	6183.Smp_173390.1
OG0001422	NP_501006.1	6183.Smp_105960.1
OG0001423	NP_504558.1	6183.Smp_173840.1
OG0001424	NP_498429.1	6183.Smp_072340.1
OG0001425	NP_499609.1	6183.Smp_119310.1
OG0001426	NP_506005.1	6183.Smp_012470.1
OG0001427	NP_495705.1	6183.Smp_018240.3
OG0001428	NP_491165.2	6183.Smp_165550.1
OG0001429	NP_500191.3	6183.Smp_018620.1
OG0001430	NP_502289.2	6183.Smp_179290.1
OG0001431	NP_501860.1	6183.Smp_084050.1
OG0001432	NP_490816.4	6183.Smp_025510.1
OG0001433	NP_504197.1	6183.Smp_002810.1
OG0001434	NP_496210.2	6183.Smp_167200.1
OG0001435	NP_495711.1	6183.Smp_171260.1
OG0001436	NP_508390.1	6183.Smp_070780.1
OG0001437	NP_504750.2	6183.Smp_086190.1
OG0001438	NP_510493.2	6183.Smp_044690.1
OG0001439	NP_492333.1	6183.Smp_142930.1
OG0001440	NP_496236.1	6183.Smp_061250.1
OG0001441	NP_509133.1	6183.Smp_121160.1
OG0001442	NP_493694.2	6183.Smp_004080.1
OG0001443	NP_496447.1	6183.Smp_055190.1
OG0001444	NP_497836.2	6183.Smp_137000.1
OG0001445	NP_495746.1	6183.Smp_044020.1
OG0001446	NP_501908.2	6183.Smp_038840.1
OG0001447	NP_494870.1	6183.Smp_083720.1
OG0001448	NP_501552.1	6183.Smp_044160.1
OG0001449	NP_504635.1	6183.Smp_098920.1
OG0001450	NP_492533.2	6183.Smp_149230.1
OG0001451	NP_504420.1	6183.Smp_210120.1
OG0001452	NP_505958.1	6183.Smp_009630.1
OG0001453	NP_491588.1	6183.Smp_059800.1
OG0001454	NP_501507.1	6183.Smp_059540.1
OG0001455	NP_495301.1	6183.Smp_131190.1
OG0001456	NP_510362.1	6183.Smp_018680.1
OG0001457	NP_491989.1	6183.Smp_056200.1
OG0001458	NP_492330.2	6183.Smp_196160.1
OG0001459	NP_498928.1	6183.Smp_068170.1
OG0001460	NP_495736.1, NP_495789.1	
OG0001461	NP_491269.1, NP_491316.1	
OG0001462	NP_497732.1	6183.Smp_132370.1
OG0001463	NP_498245.2	6183.Smp_150220.2
OG0001464	NP_497548.2	6183.Smp_088250.1
OG0001465	NP_503359.2	6183.Smp_128310.1
OG0001466	NP_505969.1	6183.Smp_157360.1
OG0001467	NP_495016.1	6183.Smp_199130.1
OG0001468	NP_499556.1	6183.Smp_120080.2
OG0001469	NP_505968.1	6183.Smp_176270.1
OG0001470	NP_496556.1	6183.Smp_091010.1
OG0001471	NP_501684.1	6183.Smp_165640.1
OG0001472	NP_492766.1	6183.Smp_009690.1
OG0001473	NP_495470.1	6183.Smp_134420.1
OG0001474	NP_509761.2	6183.Smp_138500.1
OG0001475	NP_496061.2	6183.Smp_077020.1
OG0001476	NP_491242.2	6183.Smp_162620.1
OG0001477	NP_498112.1	6183.Smp_171150.1
OG0001478	NP_497830.1	6183.Smp_026260.1
OG0001479	NP_497978.1	6183.Smp_179180.1
OG0001480	NP_505180.1	6183.Smp_102840.1
OG0001481	NP_506615.2	6183.Smp_130980.1
OG0001482	NP_506007.1	6183.Smp_039670.1
OG0001483	NP_501145.1	6183.Smp_118830.1
OG0001484	NP_499333.1	6183.Smp_018480.1
OG0001485	NP_510169.4	6183.Smp_158000.1
OG0001486	NP_506419.3	6183.Smp_027990.1
OG0001487	NP_491746.1	6183.Smp_134690.1
OG0001488	NP_490854.1	6183.Smp_021080.1
OG0001489	NP_495010.2	6183.Smp_177080.1
OG0001490	NP_495707.1	6183.Smp_013200.2
OG0001491	NP_495887.1, NP_498790.1	
OG0001492	NP_506093.2	6183.Smp_123870.1
OG0001493	NP_508198.1	6183.Smp_035300.2
OG0001494	NP_504472.1	6183.Smp_170730.1
OG0001495	NP_505800.1	6183.Smp_083410.1
OG0001496	NP_493740.1	6183.Smp_154340.1
OG0001497	NP_495763.1, NP_495764.1	
OG0001498	NP_501322.1	6183.Smp_013470.2
OG0001499	NP_497257.1	6183.Smp_040790.1
OG0001500	NP_501118.1	6183.Smp_029900.1
OG0001501	NP_493378.1	6183.Smp_133820.1
OG0001502	NP_496337.1	6183.Smp_021160.1
OG0001503	NP_496562.3	6183.Smp_084080.1
OG0001504	NP_502542.1	6183.Smp_012750.1
OG0001505	NP_495468.1	6183.Smp_061200.1
OG0001506	NP_493391.1	6183.Smp_050280.1
OG0001507	NP_494397.1	6183.Smp_059750.2
OG0001508	NP_509188.3	6183.Smp_083030.1
OG0001509	NP_492764.2	6183.Smp_029940.2
OG0001510	NP_492384.1	6183.Smp_130850.1
OG0001511	NP_498231.1	6183.Smp_007900.1
OG0001512	NP_499596.2	6183.Smp_150660.1
OG0001513	NP_508177.2	6183.Smp_130340.1
OG0001514	NP_496462.2	6183.Smp_164960.1
OG0001515	NP_510529.1	6183.Smp_172400.1
OG0001516	NP_491741.1	6183.Smp_128130.1
OG0001517	NP_492913.1	6183.Smp_033350.1
OG0001518	NP_491127.1	6183.Smp_175610.1
OG0001519	NP_499610.1	6183.Smp_212580.2
OG0001520	NP_498012.1	6183.Smp_004170.1
OG0001521	NP_499305.1, NP_499306.2	
OG0001522	NP_492139.3	6183.Smp_094820.1
OG0001523	NP_495890.2	6183.Smp_035030.1
OG0001524	NP_495019.1	6183.Smp_157510.1
OG0001525	NP_497027.1	6183.Smp_027970.1
OG0001526	NP_499212.1	6183.Smp_156060.1
OG0001527	NP_498895.1	6183.Smp_123500.1
OG0001528	NP_499779.1	6183.Smp_040540.1
OG0001529	NP_498764.1	6183.Smp_143390.1
OG0001530	NP_502416.1	6183.Smp_147020.1
OG0001531	NP_496331.1	6183.Smp_171710.1
OG0001532	NP_508767.1	6183.Smp_143060.1
OG0001533	NP_491572.2	6183.Smp_064240.1
OG0001534	NP_490865.4	6183.Smp_207020.1
OG0001535	NP_490834.1	6183.Smp_142890.1
OG0001536	NP_492389.1	6183.Smp_150360.1
OG0001537	NP_491765.2	6183.Smp_069960.1
OG0001538	NP_501757.1	6183.Smp_120360.1
OG0001539	NP_501475.1	6183.Smp_097110.1
OG0001540	NP_496969.2	6183.Smp_132170.1
OG0001541	NP_501576.2	6183.Smp_009650.1
OG0001542	NP_506070.1	6183.Smp_127050.1
OG0001543	NP_506017.1	6183.Smp_087010.1
OG0001544	NP_508014.1, NP_510144.1	
OG0001545	NP_494921.1, NP_496914.1	
OG0001546	NP_493260.1	6183.Smp_181360.1
OG0001547	NP_493337.1	6183.Smp_033050.1
OG0001548	NP_495175.1	6183.Smp_131900.1
OG0001549	NP_508915.3, NP_508916.3	
OG0001550	NP_499260.1	6183.Smp_154420.1
OG0001551	NP_509676.1	6183.Smp_123640.1
OG0001552	NP_497235.2	6183.Smp_210820.1
OG0001553	NP_490774.2	6183.Smp_147230.1
OG0001554	NP_498521.1	6183.Smp_096360.1
OG0001555	NP_498750.2	6183.Smp_066260.1
OG0001556	NP_500069.1	6183.Smp_140530.1
OG0001557	NP_498266.1	6183.Smp_126170.1
OG0001558	NP_500734.3	6183.Smp_148790.1
OG0001559	NP_500791.2	6183.Smp_140440.1
OG0001560	NP_496087.2	6183.Smp_094470.1
OG0001561	NP_493383.1	6183.Smp_076990.1
OG0001562	NP_491686.1	6183.Smp_024900.1
OG0001563	NP_501545.1	6183.Smp_001180.1
OG0001564	NP_498663.1, NP_499418.1	
OG0001565	NP_502180.1	6183.Smp_172060.1
OG0001566	NP_506097.3	6183.Smp_125450.1
OG0001567	NP_506660.2, NP_507101.1	
OG0001568	NP_508684.4	6183.Smp_156580.1
OG0001569	NP_496879.1	6183.Smp_045060.1
OG0001570	NP_503400.1, NP_503401.3	
OG0001571	NP_491072.1	6183.Smp_129260.1
OG0001572	NP_501435.1	6183.Smp_002820.3
OG0001573	NP_492571.1, NP_492573.1	
OG0001574	NP_493837.1	6183.Smp_198380.1
OG0001575	NP_493503.2	6183.Smp_091470.1
OG0001576	NP_500385.1	6183.Smp_007550.1
OG0001577	NP_504203.1	6183.Smp_070070.1
OG0001578	NP_509674.2	6183.Smp_150370.1
OG0001579	NP_494441.1	6183.Smp_124430.1
OG0001580	NP_499648.3	6183.Smp_050730.1
OG0001581	NP_498398.1	6183.Smp_105930.1
OG0001582	NP_506079.1	6183.Smp_148540.1
OG0001583	NP_492638.1	6183.Smp_000480.1
OG0001584	NP_496992.3	6183.Smp_078900.1
OG0001585	NP_501937.1	6183.Smp_064250.1
OG0001586	NP_509853.2	6183.Smp_164030.1
OG0001587	NP_499753.1	6183.Smp_180520.1
OG0001588	NP_497979.1	6183.Smp_025890.1
OG0001589	NP_508572.1, NP_508926.2	
OG0001590	NP_495409.3	6183.Smp_057060.1
OG0001591	NP_501087.1	6183.Smp_035700.1
OG0001592	NP_497843.1	6183.Smp_137590.1
OG0001593	NP_505949.1, NP_506362.1	
OG0001594	NP_508178.2	6183.Smp_070310.1
OG0001595	NP_491850.2	6183.Smp_031360.1
OG0001596	NP_495941.1	6183.Smp_007660.1
OG0001597	NP_495180.2	6183.Smp_173330.1
OG0001598	NP_497868.1	6183.Smp_093700.1
OG0001599	NP_499688.2	6183.Smp_019980.1
OG0001600	NP_495840.1	6183.Smp_046880.2
OG0001601	NP_495221.1	6183.Smp_131220.1
OG0001602	NP_491977.1	6183.Smp_130110.1
OG0001603	NP_497289.1, NP_504503.1	
OG0001604	NP_501570.1, NP_510202.2	
OG0001605	NP_493742.1	6183.Smp_005080.1
OG0001606	NP_499487.1	6183.Smp_165580.1
OG0001607	NP_498636.2	6183.Smp_152860.1
OG0001608	NP_504711.2	6183.Smp_160860.2.1
OG0001609	NP_492769.1	6183.Smp_136280.1
OG0001610	NP_493618.1	6183.Smp_173440.1
OG0001611	NP_499295.2	6183.Smp_101300.1
OG0001612	NP_504822.1	6183.Smp_211110.1
OG0001613	NP_495706.2	6183.Smp_073830.1
OG0001614	NP_502553.2	6183.Smp_084380.1
OG0001615	NP_504953.1	6183.Smp_143920.1
OG0001616	NP_498848.4	6183.Smp_150850.2
OG0001617	NP_497536.2	6183.Smp_006990.1
OG0001618	NP_499917.2	6183.Smp_009520.1
OG0001619	NP_491030.1	6183.Smp_043970.1
OG0001620	NP_510132.2	6183.Smp_145020.1
OG0001621	NP_497180.3	6183.Smp_062520.1
OG0001622	NP_498103.1	6183.Smp_030760.1
OG0001623	NP_507875.1	6183.Smp_038820.1
OG0001624	NP_499359.3	6183.Smp_141100.1
OG0001625	NP_491490.1, NP_496292.1	
OG0001626	NP_495185.1	6183.Smp_141380.1
OG0001627	NP_506224.1	6183.Smp_097820.1
OG0001628	NP_499482.1, NP_500708.1	
OG0001629	NP_497995.2, NP_500772.1	
OG0001630	NP_492694.1	6183.Smp_180400.1
OG0001631	NP_491705.1	6183.Smp_177120.1
OG0001632	NP_501476.2, NP_501477.2	
OG0001633	NP_495228.1	6183.Smp_136030.1
OG0001634	NP_498568.1	6183.Smp_103160.2
OG0001635	NP_500306.1	6183.Smp_005390.2
OG0001636	NP_492821.1	6183.Smp_212220.1
OG0001637	NP_492549.2	6183.Smp_101220.1
OG0001638	NP_495227.1	6183.Smp_133280.1
OG0001639	NP_493577.1	6183.Smp_159230.1
OG0001640	NP_502083.1	6183.Smp_151030.1
OG0001641	NP_499346.2, NP_508282.2	
OG0001642	NP_492417.2, NP_492421.1	
OG0001643	NP_510793.2, NP_510806.1	
OG0001644	NP_500885.1, NP_507860.3	
OG0001645	NP_500129.1	6183.Smp_031990.1
OG0001646	NP_499508.2, NP_499545.1	
OG0001647	NP_509262.2	6183.Smp_148150.1
OG0001648	NP_506394.1, NP_506395.1	
OG0001649	NP_499871.1, NP_501215.2	
