Orthogroup	Total	protein_mansoni	resultado_cel	resultado_dme	resultado_sce
OG0000660	6	6183.Smp_023530.1	NP_501422.1	AAF45565.3, AAF56755.2, NP_477128.1	NP_012974.1
OG0000661	6	6183.Smp_024360.1	NP_505722.1	AAF45820.2, AAF57243.1, NP_612023.1	NP_015262.1
OG0000662	6	6183.Smp_025010.1	NP_492254.1, NP_492255.1	NP_477407.1, NP_511131.3	NP_014682.1
OG0000663	6	6183.Smp_025700.1, 6183.Smp_169940.1	NP_506895.1	AAF46395.1	NP_011754.3, NP_012028.1
OG0000665	6	6183.Smp_029820.1	NP_491944.2, NP_502571.1	NP_523764.1	NP_010670.3, NP_014603.1
OG0000666	6	6183.Smp_029990.1	NP_501938.1	AAF56191.2, AAF56821.5, AAF56823.1	NP_013526.1
OG0000667	6	6183.Smp_030780.1	NP_495691.1, NP_495692.1	AAF52416.2, NP_609597.1	NP_010091.2
OG0000669	6	6183.Smp_031360.1, 6183.Smp_182870.1	NP_491850.2	AAF45970.1, AAF55893.1	NP_013844.2
OG0000670	6	6183.Smp_035200.4	NP_493570.1, NP_504452.1, NP_504454.1	AAF54939.1	NP_014335.1
OG0000673	6	6183.Smp_038510.1	NP_498584.1	AAF57166.1, AAF57167.1	NP_013553.1, NP_013638.1
OG0000675	6	6183.Smp_039130.1	NP_498813.1, NP_508771.1	AAF50873.2, AAF52874.2	NP_015319.1
OG0000676	6	6183.Smp_039400.1	NP_495807.1, NP_499152.2	NP_611878.1	NP_010880.3, NP_012581.3
OG0000677	6	6183.Smp_040770.1, 6183.Smp_073620.1	NP_502196.1	AAF59019.2	NP_011410.1, NP_011780.3
OG0000678	6	6183.Smp_042090.1	NP_491061.1, NP_491062.1	AAF50002.2, AAF55120.1	NP_011380.3
OG0000680	6	6183.Smp_043150.1	NP_499176.1	AAF48618.2, AAF56887.2, NP_572788.2	NP_009343.1
OG0000681	6	6183.Smp_043350.1	NP_497777.1, NP_500509.1, NP_500511.2	NP_609032.1	NP_010180.1
OG0000682	6	6183.Smp_044020.1	NP_495746.1	AAF58969.2	NP_010910.1, NP_012132.3, NP_012260.1
OG0000683	6	6183.Smp_046890.1	NP_499362.1	AAF46259.1, AAF47506.1, AAF56936.1	NP_011943.2
OG0000685	6	6183.Smp_049390.1	NP_501199.1, NP_510032.1	AAD49740.1, AAF55428.1	NP_010940.3
OG0000688	6	6183.Smp_050280.1	NP_493391.1, NP_493392.1	NP_610503.1	NP_010208.1, NP_013510.3
OG0000689	6	6183.Smp_050940.1	NP_504008.1, NP_508413.1	NP_477054.1	NP_011599.1, NP_015427.1
OG0000691	6	6183.Smp_052060.1	NP_497288.1, NP_510450.1	AAF55672.1, Q94522.3	NP_014785.3
OG0000693	6	6183.Smp_053130.1	NP_493435.1	AAF46287.3, AAF46288.1	NP_009740.3, NP_015235.1
OG0000695	6	6183.Smp_055390.1	NP_495529.1	AAF47748.2, AAF59057.2, NP_608449.1	NP_011867.1
OG0000696	6	6183.Smp_055850.1, 6183.Smp_123980.1, 6183.Smp_123990.1	NP_496497.1	NP_524839.3	NP_116578.3
OG0000697	6	6183.Smp_058130.1, 6183.Smp_093630.2	NP_502337.1	AAF54575.1, NP_611977.1	NP_011610.3
OG0000698	6	6183.Smp_058450.1, 6183.Smp_174110.1	NP_492587.1, NP_492588.1	AAF49247.2	NP_009980.1
OG0000700	6	6183.Smp_058880.1	NP_502376.1	AAF55780.1	NP_011915.1, NP_013949.1, NP_014923.1
OG0000701	6	6183.Smp_059790.2	NP_501878.1	AAF49267.1, AAF54265.3	NP_009675.3, NP_015399.1
OG0000702	6	6183.Smp_061230.1	NP_492798.1, NP_509446.1	AAF49990.2	NP_012490.1, NP_012774.1
OG0000703	6	6183.Smp_062920.1, 6183.Smp_146390.1, 6183.Smp_211030.1	NP_499084.1	AAF50336.2	NP_011942.1
OG0000704	6	6183.Smp_063000.1	NP_490739.1, NP_490828.3, NP_491754.1	AAF48177.1	NP_015053.2
OG0000705	6	6183.Smp_063230.1, 6183.Smp_094060.1	NP_491115.1, NP_495785.1	Q9VCA5.1	NP_013161.1
OG0000706	6	6183.Smp_064330.1	NP_498841.1, NP_504198.1	AAF54496.1, NP_524682.1	NP_015052.1
OG0000707	6	6183.Smp_064750.1	NP_491815.2, NP_508866.1	AAF52219.1, NP_620550.1	NP_010820.3
OG0000708	6	6183.Smp_066890.1	NP_491398.1	AAF48978.2, Q9VB14.1	NP_013957.1, NP_014936.1
OG0000710	6	6183.Smp_068170.1, 6183.Smp_070390.1, 6183.Smp_140580.1	NP_498928.1	NP_477215.1	NP_012222.1
OG0000711	6	6183.Smp_068950.1, 6183.Smp_212260.1	NP_492551.1, NP_492552.1	NP_524354.1	NP_010858.3
OG0000712	6	6183.Smp_069670.1	NP_495342.2, NP_498920.2	AAF56468.1, NP_523410.1	NP_013500.3
OG0000713	6	6183.Smp_069870.1, 6183.Smp_069880.1	NP_500504.1, NP_500505.1	NP_511045.1	NP_012274.1
OG0000714	6	6183.Smp_070000.1, 6183.Smp_070090.1, 6183.Smp_151490.1	NP_499840.1	AAF49805.1	NP_010012.1
OG0000715	6	6183.Smp_071770.1	AAF39778.1, NP_499565.1	AAF45671.2, AAF56745.1	NP_013208.1
OG0000716	6	6183.Smp_071830.1	NP_498226.1, NP_499644.1	NP_524467.1, Q9W5B9.1	NP_012865.1
OG0000718	6	6183.Smp_073500.2	NP_491338.2, NP_497623.1	NP_524752.1, NP_610288.1	NP_014830.1
OG0000719	6	6183.Smp_073680.1, 6183.Smp_098950.1	NP_498635.1	NP_476939.1, NP_523805.1	NP_011075.3
OG0000721	6	6183.Smp_074500.2	NP_491261.1	AAF51229.3, AAL68142.1, NP_609804.1	NP_010928.1
OG0000722	6	6183.Smp_074930.1, 6183.Smp_169610.1	NP_499189.2	AAF57887.1, NP_610544.1	NP_014073.1
OG0000723	6	6183.Smp_075230.1, 6183.Smp_124090.1	NP_504620.2	AAF46246.3, AAF50682.1	NP_011581.4
OG0000724	6	6183.Smp_075950.1, 6183.Smp_134860.1	NP_497506.4, NP_497509.3	AAF45332.1	NP_011320.3
OG0000725	6	6183.Smp_076230.1	NP_492360.1	NP_525092.1, NP_611920.1, Q24178.2	NP_014604.1
OG0000726	6	6183.Smp_076550.1, 6183.Smp_086450.1	NP_507242.1	AAF55785.1	NP_011452.4, NP_015112.1
OG0000727	6	6183.Smp_078410.1, 6183.Smp_078420.1, 6183.Smp_164470.1	NP_507525.1	AAF49211.2	NP_009611.1
OG0000728	6	6183.Smp_079230.1	NP_493256.1, NP_493257.1, T26539	AAF57582.1	NP_014264.1
OG0000729	6	6183.Smp_079380.1	NP_505064.1, NP_505065.1, NP_506445.2	NP_476614.1	NP_010347.1
OG0000734	6	6183.Smp_082990.1	NP_506278.1, NP_508859.1	NP_477068.1	NP_009769.1, NP_011461.1
OG0000735	6	6183.Smp_083410.1	NP_505800.1	AAF56877.2	NP_011717.4, NP_012842.1, NP_015277.1
OG0000737	6	6183.Smp_084050.1	NP_501860.1, NP_501861.1	NP_609373.1, NP_609721.1	NP_011542.3
OG0000738	6	6183.Smp_084860.1	NP_499694.2	NP_573063.1	NP_010283.3, NP_010568.3, NP_116706.1
OG0000741	6	6183.Smp_090520.1, 6183.Smp_179110.1	NP_499900.1	AAF47052.1, AAF47654.1	NP_013310.1
OG0000743	6	6183.Smp_093700.1	NP_509363.1	AAF51335.3, AAF53300.1, NP_573087.1	NP_015155.1
OG0000744	6	6183.Smp_093820.1	NP_502267.1	AAF56124.2, AAF56209.5	NP_009339.1, NP_015020.3
OG0000745	6	6183.Smp_093850.1	NP_491887.1	AAF46440.1, AAF46441.1, AAF48320.2	NP_014452.1
OG0000746	6	6183.Smp_094250.1	NP_497551.1, NP_508242.1, NP_508243.1	Q9W0V1	NP_010778.3
OG0000749	6	6183.Smp_096640.1	NP_505309.1, NP_505310.2, NP_505311.3	AAF55388.1	NP_010811.1
OG0000752	6	6183.Smp_098960.1	NP_495823.1, NP_495824.1	AAF49215.1	NP_011548.2, NP_013448.1
OG0000753	6	6183.Smp_099420.1	NP_491234.1	AAF54406.1, AAF54407.1	NP_011759.1, NP_012032.1
OG0000754	6	6183.Smp_100120.1, 6183.Smp_174470.1	NP_501802.2, NP_509671.3	AAF53255.2	NP_012074.3
OG0000755	6	6183.Smp_101820.1, 6183.Smp_122800.1	NP_498064.2	AAF56783.3	NP_009893.2, NP_010803.3
OG0000756	6	6183.Smp_105080.1	NP_491371.1	AAF54581.3, NP_608660.3, NP_610737.1	NP_012327.1
OG0000759	6	6183.Smp_113640.1, 6183.Smp_186670.1	NP_495838.2	AAF48639.3	NP_012405.2, NP_012447.1
OG0000760	6	6183.Smp_119310.1	NP_497631.1, NP_499609.1	AAF57069.1, NP_608447.1	NP_011467.1
OG0000765	6	6183.Smp_121990.1	NP_492115.1, NP_506640.2	AAF58099.2, AAF59232.1	NP_012111.1
OG0000768	6	6183.Smp_123490.1	NP_492480.1, NP_510010.2	AAF56373.4	NP_011524.1, NP_013432.1
OG0000769	6	6183.Smp_124730.1	NP_493826.1, NP_509285.2	AAF47508.2, AAF47510.1	NP_011718.1
OG0000774	6	6183.Smp_125670.1, 6183.Smp_191360.1	NP_493334.1, NP_498042.1	NP_609218.1	NP_012038.2
OG0000775	6	6183.Smp_126030.1	NP_498525.1, NP_509101.4, NP_510060.1	NP_523360.1	NP_011419.1
OG0000777	6	6183.Smp_127280.1	NP_505828.3	AAF53574.3, AAF53576.1	NP_009978.1, NP_014416.1
OG0000782	6	6183.Smp_131870.1, 6183.Smp_146400.1	NP_499918.1, NP_509298.1	Q07327.2	NP_010448.1
OG0000783	6	6183.Smp_132020.1	NP_496075.1	AAF45973.1, NP_523494.1, NP_611854.1	NP_011512.1
OG0000784	6	6183.Smp_132170.1	NP_496969.2	AAF58413.3, NP_610331.1	NP_010381.1, NP_011096.1
OG0000786	6	6183.Smp_132660.1	NP_501521.1, NP_508633.1	AAF50584.1	NP_011584.2, NP_013475.1
OG0000790	6	6183.Smp_134790.1	NP_492019.2, NP_499315.3, NP_508727.1	P49906.1	NP_013697.1
OG0000791	6	6183.Smp_135360.1	NP_491714.1, NP_505119.1	NP_476749.1, NP_477336.1	NP_015115.1
OG0000793	6	6183.Smp_136240.6	NP_491704.1, NP_505251.2	AAF50490.3, NP_570087.1	NP_011046.3
OG0000796	6	6183.Smp_137000.1	NP_497836.2	AAF48981.2, AAF48982.2, XP_081254.1	NP_011773.3
OG0000798	6	6183.Smp_137780.1, 6183.Smp_137790.1, 6183.Smp_175490.1	NP_497865.2	NP_610719.1	NP_013793.1
OG0000799	6	6183.Smp_138440.1, 6183.Smp_138450.1	NP_494841.3	AAF46300.3, AAF46302.4	NP_013124.1
OG0000800	6	6183.Smp_138860.1	NP_494570.1, NP_494571.1	AAF48307.2, AAF48308.1	NP_015129.1
OG0000801	6	6183.Smp_138930.2	NP_492711.1, NP_498596.1	AAF56211.1	NP_011269.2, NP_011884.1
OG0000802	6	6183.Smp_141860.1	NP_498087.1	AAF50228.2, AAF50230.1, AAF50234.3	NP_012137.3
OG0000803	6	6183.Smp_141910.1, 6183.Smp_143930.1, 6183.Smp_155450.1	NP_496431.1	AAF58298.3	NP_013784.1
OG0000805	6	6183.Smp_142770.1	NP_496987.1, NP_496988.1	AAF50673.2, NP_477368.1	NP_009573.1
OG0000808	6	6183.Smp_145190.1, 6183.Smp_157350.1	NP_507869.1	AAF49878.1, AAF54358.1	NP_011335.1
OG0000809	6	6183.Smp_145600.1	NP_492446.3	AAF46390.3, AAF56369.1	NP_014100.2, NP_014526.1
OG0000812	6	6183.Smp_147050.1	NP_506559.1	AAF53231.1, NP_609595.1, P48602.2	NP_010096.1
OG0000813	6	6183.Smp_147230.1	NP_490774.2, NP_490775.1	NP_608782.1	NP_011896.1, NP_013650.1
OG0000814	6	6183.Smp_149200.1	NP_502033.2	AAF49148.2, AAF49149.1, NP_524061.1	NP_015151.1
OG0000815	6	6183.Smp_149440.1	NP_491179.1, NP_500620.1, NP_509310.1	AAF56222.2	NP_009351.1
OG0000816	6	6183.Smp_151180.1	NP_501280.1, NP_501281.2	NP_608687.2, NP_609217.1	NP_012907.3
OG0000817	6	6183.Smp_152330.1, 6183.Smp_164380.1	NP_493605.1, NP_493606.1	NP_476977.1	NP_015121.1
OG0000818	6	6183.Smp_152690.1	NP_490844.1, NP_496593.1	NP_610986.1, NP_611207.1	NP_010760.3
OG0000819	6	6183.Smp_152740.1, 6183.Smp_156160.1	NP_493567.2, NP_497573.3	AAF45693.1	NP_010611.3
OG0000820	6	6183.Smp_153610.1	NP_490901.2, NP_490902.2, NP_490903.1	AAF58788.1	NP_013605.1
OG0000821	6	6183.Smp_154530.1	NP_497938.1, NP_508770.1	AAF49841.1, Q94516.2	NP_015247.1
OG0000823	6	6183.Smp_156000.2	NP_491691.1, NP_510304.1	AAF58878.4	NP_011863.1, NP_012928.1
OG0000825	6	6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1	NP_510155.3	NP_611269.1	NP_116674.2
OG0000826	6	6183.Smp_157100.1	NP_495847.1	AAF47706.3, AAF48045.1	NP_013361.1, NP_014814.1
OG0000828	6	6183.Smp_158240.1	NP_498642.1	AAF46186.3, AAF46187.2, AAF50063.1	NP_015061.1
OG0000829	6	6183.Smp_158620.1, 6183.Smp_199900.1	NP_498232.3	AAF50729.2	NP_014135.1, NP_014168.1
OG0000830	6	6183.Smp_158910.1	NP_490896.1, NP_501457.1	AAF54272.1, NP_476947.1	NP_009693.3
OG0000831	6	6183.Smp_159120.1, 6183.Smp_159130.1	NP_494914.1, NP_495703.2	AAF50646.3	NP_012233.1
OG0000833	6	6183.Smp_159670.1	NP_502551.2, NP_502552.1	NP_569729.1	NP_014293.1, NP_014752.3
OG0000835	6	6183.Smp_160740.1, 6183.Smp_205770.1	NP_508911.1	AAF47876.1, AAF56859.1	NP_014804.3
OG0000836	6	6183.Smp_162030.1	NP_498291.1, NP_498292.1	AAF48181.2, AAF51052.2	NP_014884.1
OG0000837	6	6183.Smp_162340.1	NP_505487.3, NP_505488.1	NP_523369.2	NP_009465.2, NP_009694.3
OG0000838	6	6183.Smp_162430.1	NP_506567.1, NP_506568.2	AAF47959.3, NP_524111.3	NP_015156.1
OG0000843	6	6183.Smp_165490.1	NP_502247.1	AAF52567.2	NP_010093.1, NP_010147.1, NP_014182.1
OG0000844	6	6183.Smp_166280.1	NP_505723.1	AAF50071.2, AAF50733.2, AAF51610.2	NP_116673.1
OG0000846	6	6183.Smp_169330.1	NP_500102.4, NP_500104.1	NP_477287.1	NP_009474.1, NP_011031.1
OG0000849	6	6183.Smp_171590.1	NP_495084.3, NP_495085.2, NP_495086.1	AAF52562.2	NP_116684.3
OG0000850	6	6183.Smp_171820.2	NP_495734.3, NP_498926.2, NP_498927.2	AAF46305.3	NP_013652.1
OG0000851	6	6183.Smp_171890.1	NP_497707.1, NP_498908.2	AAF51158.2	NP_012156.1, NP_013387.1
OG0000852	6	6183.Smp_172270.1	NP_502355.2, NP_502356.1	AAF56256.2, AAF56258.2	NP_009381.1
OG0000854	6	6183.Smp_173890.1, 6183.Smp_212510.1	NP_491108.2	NP_476979.1	NP_010598.3, NP_011933.1
OG0000856	6	6183.Smp_174690.1	NP_508776.1, NP_508777.1	AAF50267.2	NP_010645.1, NP_011976.1
OG0000857	6	6183.Smp_174950.1	NP_492555.1	AAF56207.1, NP_523376.1	NP_014097.1, NP_014520.1
OG0000859	6	6183.Smp_176750.1	NP_497928.1, NP_497929.1	AAF53727.2	NP_012171.1, NP_014378.1
OG0000860	6	6183.Smp_177120.1	NP_491705.1	AAF46179.1, AAF46180.2, AAF53663.1	NP_010267.3
OG0000861	6	6183.Smp_178850.1	NP_496067.1, NP_496524.1, NP_505683.1	AAF57528.2	NP_012927.3
OG0000863	6	6183.Smp_193750.1	NP_492942.1, NP_493077.1	AAF46249.1, AAF54685.1	NP_011545.1
OG0000865	6	6183.Smp_197500.1	NP_491556.1, NP_505237.1, NP_505859.1	AAF49301.2	NP_012476.1
OG0000867	6	6183.Smp_210110.1	NP_492051.1	NP_477382.1, NP_608919.1	NP_011704.3, NP_012521.3
OG0000868	6	6183.Smp_210380.1	NP_492653.2	AAF51623.1, NP_609805.1	NP_011424.3, NP_012263.1
OG0000870	6	6183.Smp_211250.1	NP_502330.1	AAF54369.1, AAF56564.2	NP_010977.2, NP_012212.1
OG0000871	6	6183.Smp_211280.1	NP_500187.2	AAF58012.1, AAF58013.4, NP_477266.1	NP_012843.1
OG0000929	5	6183.Smp_000070.1	NP_505578.1	AAF48201.1, AAF52680.2	NP_010231.1
OG0000930	5	6183.Smp_000110.1	NP_492611.2	AAF49457.1, AAF49461.3	NP_014236.1
OG0000932	5	6183.Smp_001360.1, 6183.Smp_032810.1	NP_496151.1	AAF57756.2	NP_012591.1
OG0000933	5	6183.Smp_001830.1	NP_491399.1	NP_609649.1	NP_011484.1, NP_011664.3
OG0000934	5	6183.Smp_002870.1, 6183.Smp_179060.1	NP_502292.1	NP_609033.1	NP_014534.1
OG0000936	5	6183.Smp_003410.1	NP_492263.1, NP_508808.1	AAF47545.1	NP_014514.1
OG0000937	5	6183.Smp_004040.1, 6183.Smp_066720.1	NP_495515.1	AAF54199.1	NP_010736.3
OG0000938	5	6183.Smp_004120.1	NP_494973.3, NP_494974.3	AAF48329.4	NP_013677.1
OG0000940	5	6183.Smp_005210.1	NP_493026.1, NP_506599.1	AAF47924.1	NP_014069.1
OG0000941	5	6183.Smp_005290.1	NP_492207.1	AAF50785.1, AAF56876.1	NP_014708.1
OG0000942	5	6183.Smp_005330.1	NP_493529.1	AAF55036.1, AAF55037.2	NP_011687.1
OG0000944	5	6183.Smp_006190.1	NP_502608.3, NP_502609.2	AAF49579.4	NP_014281.1
OG0000945	5	6183.Smp_006710.1	NP_497859.1	AAF53949.2	NP_009387.1, NP_014599.1
OG0000947	5	6183.Smp_006830.1	NP_498159.2	AAF47684.1	NP_013960.1, NP_014938.3
OG0000948	5	6183.Smp_006990.1	NP_497536.2	AAF47773.1, AAF47774.2	NP_009365.1
OG0000949	5	6183.Smp_007170.1	NP_496092.1, NP_508691.1	NP_524117.1	NP_012732.1
OG0000950	5	6183.Smp_007550.1	NP_500385.1, NP_502335.1	AAF53718.4	NP_014353.1
OG0000951	5	6183.Smp_007660.1	NP_495941.1	AAF48482.2, NP_476967.1	NP_011472.1
OG0000952	5	6183.Smp_007900.1	NP_498231.1	NP_523813.1	NP_009466.1, NP_011042.3
OG0000953	5	6183.Smp_008545.1	NP_497429.1	NP_608948.2, O02649.3	NP_013360.1
OG0000955	5	6183.Smp_008830.1	NP_498468.2	NP_523719.1	NP_009804.1, NP_014948.1
OG0000956	5	6183.Smp_009030.1	NP_499039.1	AAF52913.2	NP_010993.1, NP_012198.3
OG0000957	5	6183.Smp_009320.2	NP_497405.1, NP_508325.1	NP_523794.1	NP_015279.1
OG0000958	5	6183.Smp_009710.3, 6183.Smp_013560.1	NP_505626.1	AAF57909.1	NP_011561.3
OG0000959	5	6183.Smp_010160.1, 6183.Smp_168350.1	NP_505751.1	AAF54216.1	NP_014700.1
OG0000962	5	6183.Smp_012050.1	NP_493519.1	AAF58480.1	NP_009353.1, NP_011295.1
OG0000963	5	6183.Smp_012110.1	NP_502520.1	AAF49096.1, AAF53263.1	NP_011711.3
OG0000964	5	6183.Smp_012480.1	NP_499770.1	NP_477145.1	NP_010549.3, NP_014676.1
OG0000972	5	6183.Smp_014650.1	NP_505007.1	AAF55815.1	NP_013390.1, NP_014825.3
OG0000975	5	6183.Smp_016130.1	NP_499480.1	NP_611606.1	NP_009649.1, NP_011869.1
OG0000977	5	6183.Smp_016880.1, 6183.Smp_137940.1	NP_491243.1	AAF50139.1	NP_010742.1
OG0000978	5	6183.Smp_017070.1	NP_493644.1	AAF46146.3, AAF49987.1	NP_014902.3
OG0000979	5	6183.Smp_017280.1	NP_497654.1, NP_503079.1	NP_476778.1	NP_013268.1
OG0000980	5	6183.Smp_017450.1	NP_500895.1	NP_524315.2	NP_011541.1, NP_013437.1
OG0000981	5	6183.Smp_017750.1	NP_496146.1, NP_496147.1	AAF51402.1	NP_012709.1
OG0000982	5	6183.Smp_017810.1, 6183.Smp_167860.1	NP_493687.2	AAF45353.1	NP_010466.3
OG0000984	5	6183.Smp_018240.3	NP_495705.1, NP_496273.1	NP_477369.1	NP_010157.1
OG0000985	5	6183.Smp_018530.2	NP_490749.1	NP_477216.1, NP_608561.2	NP_012063.3
OG0000986	5	6183.Smp_018710.1	NP_506417.1, NP_506418.1	AAF50953.2	NP_015077.1
OG0000987	5	6183.Smp_018890.1	NP_491245.1	AAF51220.2, NP_476676.1	NP_009938.2
OG0000988	5	6183.Smp_019010.1	NP_492287.1, NP_492288.2	Q9VHR8.2	NP_014584.1
OG0000990	5	6183.Smp_019490.1, 6183.Smp_099690.1	NP_495878.1	AAF56431.1	NP_009925.1
OG0000992	5	6183.Smp_021140.1	NP_492708.1	AAF57023.1	NP_014303.3, NP_014739.1
OG0000994	5	6183.Smp_021800.1	NP_493228.1	AAF46750.2, AAF54630.1	NP_011592.3
OG0000996	5	6183.Smp_022150.1	NP_493207.1	AAF56253.1, NP_611191.1	NP_010436.3
OG0000998	5	6183.Smp_022560.2	NP_498774.1	NP_610144.1	NP_009750.1, NP_015246.1
OG0000999	5	6183.Smp_022630.1	NP_495171.1, NP_495172.1	AAF50353.3	NP_015416.1
OG0001000	5	6183.Smp_022640.1	NP_491220.1	NP_523530.1	NP_010201.1, NP_013862.1
OG0001003	5	6183.Smp_023160.1	NP_496217.1	NP_476969.1, Q9VNL3.2	NP_011534.1
OG0001005	5	6183.Smp_024120.1	NP_493795.1	AAF48576.1, AAF56781.1	NP_010818.1
OG0001006	5	6183.Smp_024520.1, 6183.Smp_094420.1	NP_502788.1	XP_079610.1	NP_011062.1
OG0001007	5	6183.Smp_024850.1	NP_490826.1	NP_572346.1	NP_012358.1, NP_012741.1
OG0001008	5	6183.Smp_025690.1, 6183.Smp_178810.1	NP_496405.1	AAF08392.1	NP_010715.3
OG0001009	5	6183.Smp_026310.1	NP_496800.1, NP_499420.1	AAF58322.2	NP_009582.1
OG0001010	5	6183.Smp_026390.1, 6183.Smp_138890.2	NP_506479.1	AAF51108.3	NP_014244.1
OG0001012	5	6183.Smp_026920.1	NP_505710.1	AAF46692.1, P48596.3	NP_011783.1
OG0001013	5	6183.Smp_027610.1, 6183.Smp_131450.1	NP_498349.1	NP_476632.1	NP_014221.3
OG0001014	5	6183.Smp_028190.1, 6183.Smp_171620.1	NP_495629.2	NP_611208.1	NP_013117.1
OG0001015	5	6183.Smp_029740.1	NP_496607.1	AAF58794.2, AAF59116.2	NP_014570.1
OG0001016	5	6183.Smp_030330.2	NP_504461.1	AAF54101.1, AAF54887.2	NP_009496.2
OG0001017	5	6183.Smp_030690.1	NP_498737.1, NP_502816.2	NP_524808.3	NP_009398.1
OG0001018	5	6183.Smp_030710.1	NP_499603.1, NP_499611.1	NP_524803.1	NP_010360.1
OG0001019	5	6183.Smp_031310.1	NP_493571.1	NP_523595.1	NP_011057.1, NP_011326.1
OG0001021	5	6183.Smp_032230.1	NP_495381.1, NP_509397.1	AAF45343.1	NP_012199.3
OG0001022	5	6183.Smp_032260.1	NP_499964.1	O17445.1	NP_013129.1, NP_013840.1
OG0001023	5	6183.Smp_032310.1	NP_499667.1	AAF48696.1, AAF55233.4	NP_013474.3
OG0001024	5	6183.Smp_032480.1	NP_506193.1	NP_477268.2, NP_612109.3	NP_012238.1
OG0001025	5	6183.Smp_032500.1, 6183.Smp_161880.1	NP_504199.1	NP_523984.1	NP_009761.4
OG0001026	5	6183.Smp_033020.1	NP_492567.3, NP_494837.2	NP_524163.1	NP_012420.1
OG0001028	5	6183.Smp_033050.1	NP_493337.1, NP_493338.1	AAF48440.1	NP_014637.1
OG0001029	5	6183.Smp_033260.2	NP_498095.3	AAF51571.1, NP_573362.1	NP_015305.1
OG0001030	5	6183.Smp_033600.1, 6183.Smp_142510.2	NP_492599.1	NP_477436.1	NP_013966.1
OG0001031	5	6183.Smp_033670.5	NP_500213.1, NP_500214.1	O01666.2	NP_009595.1
OG0001032	5	6183.Smp_033710.1	NP_497615.2	NP_536783.1	NP_014847.3, NP_015206.1
OG0001033	5	6183.Smp_034190.1	NP_490761.2, NP_491703.1	AAF54221.1	NP_010304.3
OG0001034	5	6183.Smp_034670.1	NP_499131.1	NP_476804.1, NP_476922.1	NP_013313.1
OG0001035	5	6183.Smp_034700.3	NP_494755.1	NP_608884.1	NP_009580.1, NP_009593.1
OG0001036	5	6183.Smp_034870.1	NP_497584.1, NP_497586.2	NP_523415.1	NP_012787.1
OG0001038	5	6183.Smp_035790.1	NP_496375.1	NP_609179.2	NP_012010.1, NP_014237.2
OG0001041	5	6183.Smp_036940.1	NP_505778.1	AAF57466.1, NP_608337.1	NP_010371.1
OG0001042	5	6183.Smp_036990.1, 6183.Smp_122030.1	NP_491424.2	AAF55605.2	NP_010676.1
OG0001044	5	6183.Smp_037700.1	NP_492322.1	AAF53669.1, NP_608422.1	NP_010925.1
OG0001045	5	6183.Smp_038980.2	NP_494563.1	AAF45407.1, AAF54017.1	NP_013152.1
OG0001046	5	6183.Smp_039750.1, 6183.Smp_143840.1	NP_504007.1	Q9XTL9.2	NP_015486.1
OG0001047	5	6183.Smp_040800.1	NP_498093.1	AAF49668.2	NP_009679.2, NP_015406.1
OG0001049	5	6183.Smp_041650.1	NP_503134.1	AAF56428.1	NP_011885.1, NP_012766.1
OG0001051	5	6183.Smp_041740.1	NP_494218.2, NP_508062.3	P48605.2	NP_012520.1
OG0001052	5	6183.Smp_041980.1	NP_490926.1	NP_476630.1	NP_010153.1, NP_010202.1
OG0001054	5	6183.Smp_042550.1	NP_508216.1	AAF51109.1	NP_013004.3, NP_014712.2
OG0001055	5	6183.Smp_042560.1	NP_495912.1	AAF57268.1, Q9U4L6.2	NP_013930.1
OG0001057	5	6183.Smp_044580.1	NP_492728.2, NP_498693.2	NP_524687.1	NP_011485.1
OG0001058	5	6183.Smp_044850.1	NP_496483.2	NP_569850.1, NP_609560.2	NP_009965.2
OG0001059	5	6183.Smp_045040.1	NP_497655.1, NP_497656.2	NP_573099.1	NP_009877.1
OG0001060	5	6183.Smp_045070.1	NP_490990.2	AAF45766.1, NP_569993.1	NP_013811.1
OG0001061	5	6183.Smp_045260.1	NP_501991.3	AAF50007.2, NP_477281.1	NP_010518.1
OG0001064	5	6183.Smp_046250.1	NP_505145.1	AAF46786.1, NP_572165.1	NP_011315.3
OG0001065	5	6183.Smp_046500.2	NP_500466.3	AAF53835.1, NP_476905.1	NP_009645.1
OG0001067	5	6183.Smp_047360.1	NP_490978.1	AAF50499.1	NP_009832.1, NP_012487.1
OG0001068	5	6183.Smp_047740.1	NP_496489.1	AAF08395.1, AAF49682.1	NP_116710.1
OG0001070	5	6183.Smp_049510.1, 6183.Smp_062970.1	NP_496985.1	AAF51974.2	NP_014082.1
OG0001071	5	6183.Smp_049550.1	NP_495536.1, NP_509019.1	AAF48095.1	NP_012500.3
OG0001074	5	6183.Smp_051320.1, 6183.Smp_167500.1	NP_493021.1	NP_476841.1	NP_009534.1
OG0001075	5	6183.Smp_051360.1	NP_507859.2, NP_508055.2	AAF53252.2	NP_009802.3
OG0001077	5	6183.Smp_052640.1, 6183.Smp_180740.1	NP_501352.1	NP_609186.1	NP_010610.3
OG0001078	5	6183.Smp_053230.1	NP_504638.1, NP_504639.1	AAF50004.1	NP_012221.2
OG0001079	5	6183.Smp_053780.1, 6183.Smp_053790.1	NP_502546.1	AAF55401.1	NP_012499.1
