Orthogroup	Total	protein_mansoni	resultado_cel
OG0000776	3	6183.Smp_012400.1, 6183.Smp_059290.1	NP_495826.1
OG0000778	3	6183.Smp_012570.1	NP_508500.1, NP_508501.1
OG0000779	3	6183.Smp_012750.1	NP_502542.1, NP_502543.1
OG0000780	3	6183.Smp_012780.1	NP_497784.1, NP_497785.1
OG0000781	3	6183.Smp_013050.1	NP_497456.2, NP_497457.1
OG0000782	3	6183.Smp_013080.1, 6183.Smp_126110.1	NP_492257.1
OG0000784	3	6183.Smp_013370.3, 6183.Smp_035020.2	NP_501853.1
OG0000785	3	6183.Smp_013460.1, 6183.Smp_127650.1	NP_490911.1
OG0000787	3	6183.Smp_014050.1, 6183.Smp_090450.1	NP_501279.1
OG0000788	3	6183.Smp_015020.1, 6183.Smp_130300.1	NP_506269.1
OG0000789	3	6183.Smp_015030.1, 6183.Smp_015050.1	NP_508615.1
OG0000790	3	6183.Smp_015070.1	NP_505171.1, NP_508412.1
OG0000793	3	6183.Smp_015710.1	NP_491529.2, NP_491530.1
OG0000794	3	6183.Smp_015860.1	NP_498574.2, NP_499549.1
OG0000797	3	6183.Smp_016340.1	NP_496463.2, NP_496464.2
OG0000798	3	6183.Smp_016380.1, 6183.Smp_034660.1	NP_500420.3
OG0000799	3	6183.Smp_016390.1	NP_493357.2, NP_496717.1
OG0000800	3	6183.Smp_016540.1, 6183.Smp_143380.1	NP_505933.1
OG0000801	3	6183.Smp_016600.1	NP_508600.1, NP_508601.1
OG0000802	3	6183.Smp_016640.1	NP_498604.2, NP_508977.1
OG0000804	3	6183.Smp_017750.1	NP_496146.1, NP_496147.1
OG0000805	3	6183.Smp_017810.1, 6183.Smp_167860.1	NP_493687.2
OG0000806	3	6183.Smp_017900.1	NP_492319.2, NP_492320.2
OG0000807	3	6183.Smp_017980.1, 6183.Smp_142960.1	NP_496011.1
OG0000808	3	6183.Smp_018240.3	NP_495705.1, NP_496273.1
OG0000809	3	6183.Smp_018610.1	NP_493585.1, NP_493586.1
OG0000810	3	6183.Smp_018760.1	NP_505507.1, NP_505508.1
OG0000811	3	6183.Smp_019010.1	NP_492287.1, NP_492288.2
OG0000812	3	6183.Smp_019170.1, 6183.Smp_156290.1	NP_502032.2
OG0000815	3	6183.Smp_019890.1	NP_499735.2, O16000.1
OG0000816	3	6183.Smp_019900.1	AAC47518.1, NP_506712.4
OG0000817	3	6183.Smp_020170.1, 6183.Smp_124690.1	NP_508481.1
OG0000818	3	6183.Smp_020340.1, 6183.Smp_133210.1	NP_501419.2
OG0000819	3	6183.Smp_020370.1, 6183.Smp_058240.1	NP_506658.1
OG0000820	3	6183.Smp_020450.1, 6183.Smp_164450.1	NP_500648.2
OG0000821	3	6183.Smp_021040.1	NP_499365.1, NP_499366.1
OG0000822	3	6183.Smp_021370.1, 6183.Smp_211240.1	NP_490872.1
OG0000823	3	6183.Smp_021600.1	NP_496603.2, NP_496606.2
OG0000824	3	6183.Smp_021750.2	NP_496572.1, NP_496573.1
OG0000826	3	6183.Smp_022630.1	NP_495171.1, NP_495172.1
OG0000827	3	6183.Smp_023550.1, 6183.Smp_134000.1	NP_493566.1
OG0000829	3	6183.Smp_024520.1, 6183.Smp_094420.1	NP_502788.1
OG0000830	3	6183.Smp_024660.1, 6183.Smp_204750.1	NP_508596.1
OG0000831	3	6183.Smp_024670.1, 6183.Smp_210340.1	NP_491733.2
OG0000833	3	6183.Smp_025010.1	NP_492254.1, NP_492255.1
OG0000834	3	6183.Smp_025560.1	NP_502124.1, NP_502125.1
OG0000835	3	6183.Smp_025690.1, 6183.Smp_178810.1	NP_496405.1
OG0000836	3	6183.Smp_026040.1	NP_491642.2, NP_491643.2
OG0000837	3	6183.Smp_026390.1, 6183.Smp_138890.2	NP_506479.1
OG0000838	3	6183.Smp_026930.1	NP_497719.1, NP_509566.1
OG0000839	3	6183.Smp_027610.1, 6183.Smp_131450.1	NP_498349.1
OG0000840	3	6183.Smp_027890.1	NP_498309.3, NP_498310.3
OG0000841	3	6183.Smp_028140.1	NP_493947.1, NP_493948.1
OG0000842	3	6183.Smp_028190.1, 6183.Smp_171620.1	NP_495629.2
OG0000844	3	6183.Smp_028630.1	NP_495005.1, NP_495006.2
OG0000845	3	6183.Smp_028670.1	NP_510264.1, NP_510265.1
OG0000846	3	6183.Smp_029360.1	NP_493751.1, NP_499743.2
OG0000847	3	6183.Smp_029820.1	NP_491944.2, NP_502571.1
OG0000848	3	6183.Smp_030000.1, 6183.Smp_083870.1	NP_506260.1
OG0000849	3	6183.Smp_030400.1	NP_508999.2, NP_509000.1
OG0000850	3	6183.Smp_030690.1	NP_498737.1, NP_502816.2
OG0000851	3	6183.Smp_030780.1	NP_495691.1, NP_495692.1
OG0000852	3	6183.Smp_030860.1, 6183.Smp_162310.1	NP_491302.1
OG0000853	3	6183.Smp_031680.1, 6183.Smp_139330.1	NP_491906.1
OG0000854	3	6183.Smp_032230.1	NP_495381.1, NP_509397.1
OG0000855	3	6183.Smp_032500.1, 6183.Smp_161880.1	NP_504199.1
OG0000857	3	6183.Smp_032790.1, 6183.Smp_152270.1	NP_510487.1
OG0000858	3	6183.Smp_032800.2, 6183.Smp_032820.1	NP_493279.1
OG0000860	3	6183.Smp_033020.1	NP_492567.3, NP_494837.2
OG0000861	3	6183.Smp_033330.1, 6183.Smp_170030.1	NP_493505.1
OG0000862	3	6183.Smp_033400.1	NP_500629.1, NP_506156.1
OG0000864	3	6183.Smp_033670.5	NP_500213.1, NP_500214.1
OG0000865	3	6183.Smp_033710.1, 6183.Smp_068440.1	NP_497615.2
OG0000866	3	6183.Smp_034100.1	NP_500076.1, NP_506572.1
OG0000867	3	6183.Smp_034870.1	NP_497584.1, NP_497586.2
OG0000868	3	6183.Smp_035190.2, 6183.Smp_199010.1	NP_504235.2
OG0000869	3	6183.Smp_035460.1	NP_500264.4, NP_500265.3
OG0000870	3	6183.Smp_035730.1	NP_496766.1, NP_497966.2
OG0000871	3	6183.Smp_035800.1	NP_497072.1, NP_497727.1
OG0000872	3	6183.Smp_036980.1, 6183.Smp_165560.1	NP_497896.1
OG0000873	3	6183.Smp_037210.1, 6183.Smp_125060.1	NP_509396.1
OG0000874	3	6183.Smp_037930.1, 6183.Smp_061500.1	NP_497790.2
OG0000875	3	6183.Smp_038210.1	NP_495987.1, NP_508620.1
OG0000876	3	6183.Smp_038840.1	NP_492066.2, NP_501908.2
OG0000877	3	6183.Smp_039130.1	NP_498813.1, NP_508771.1
OG0000878	3	6183.Smp_039400.1	NP_495807.1, NP_499152.2
OG0000881	3	6183.Smp_039670.1	NP_506007.1, NP_506008.1
OG0000882	3	6183.Smp_039870.2, 6183.Smp_171040.1	NP_503360.4
OG0000883	3	6183.Smp_040360.1	NP_508375.1, NP_510575.1
OG0000885	3	6183.Smp_040570.1	NP_492481.1, NP_508236.1
OG0000886	3	6183.Smp_040710.1	NP_496942.1, NP_499132.1
OG0000887	3	6183.Smp_040790.1	NP_493624.1, NP_497257.1
OG0000888	3	6183.Smp_041280.1, 6183.Smp_131780.1	NP_492958.3
OG0000890	3	6183.Smp_041740.1	NP_494218.2, NP_508062.3
OG0000891	3	6183.Smp_042090.1	NP_491061.1, NP_491062.1
OG0000892	3	6183.Smp_042210.1, 6183.Smp_145740.1	NP_491343.1
OG0000893	3	6183.Smp_042390.1, 6183.Smp_178890.1	NP_498593.1
OG0000894	3	6183.Smp_042440.1	NP_501459.1, NP_508803.3
OG0000895	3	6183.Smp_042650.1	NP_500147.1, NP_500148.1
OG0000896	3	6183.Smp_043500.1	NP_491984.2, NP_491985.4
OG0000897	3	6183.Smp_043930.1, 6183.Smp_059660.1	NP_508918.2
OG0000898	3	6183.Smp_044580.1	NP_492728.2, NP_498693.2
OG0000899	3	6183.Smp_044610.1, 6183.Smp_125590.1	NP_509427.2
OG0000901	3	6183.Smp_045040.1	NP_497655.1, NP_497656.2
OG0000902	3	6183.Smp_045410.1, 6183.Smp_045420.1	NP_500998.1
OG0000903	3	6183.Smp_045480.2	NP_508021.1, NP_508022.1
OG0000904	3	6183.Smp_045950.2, 6183.Smp_050920.1	NP_499533.1
OG0000905	3	6183.Smp_046000.1	NP_494989.2, NP_500308.2
OG0000906	3	6183.Smp_046140.1	NP_492021.1, NP_492022.3
OG0000909	3	6183.Smp_047440.1	NP_490811.3, NP_499182.1
OG0000910	3	6183.Smp_047860.1, 6183.Smp_084340.1	NP_493778.1
OG0000911	3	6183.Smp_048240.1	NP_491349.1, NP_491350.1
OG0000912	3	6183.Smp_049380.1	NP_495666.4, NP_495667.2
OG0000913	3	6183.Smp_049510.1, 6183.Smp_062970.1	NP_496985.1
OG0000914	3	6183.Smp_050280.1	NP_493391.1, NP_493392.1
OG0000915	3	6183.Smp_050430.1	NP_501004.2, NP_501005.2
OG0000916	3	6183.Smp_050940.1	NP_504008.1, NP_508413.1
OG0000918	3	6183.Smp_051230.1, 6183.Smp_051300.1	NP_495921.1
OG0000919	3	6183.Smp_051360.1	NP_507859.2, NP_508055.2
OG0000921	3	6183.Smp_051920.2, 6183.Smp_055740.1	NP_496358.1
OG0000922	3	6183.Smp_052140.1	NP_501910.1, NP_502395.1
OG0000923	3	6183.Smp_052460.1, 6183.Smp_150270.1	NP_499309.1
OG0000924	3	6183.Smp_053100.1	AAF22963.1, NP_501858.1
OG0000925	3	6183.Smp_053230.1	NP_504638.1, NP_504639.1
OG0000926	3	6183.Smp_053560.1	NP_500005.1, NP_500006.2
OG0000927	3	6183.Smp_053780.1, 6183.Smp_053790.1	NP_502546.1
OG0000928	3	6183.Smp_054240.1, 6183.Smp_122680.1	NP_492767.1
OG0000929	3	6183.Smp_054430.1	NP_491001.2, NP_492338.1
OG0000931	3	6183.Smp_054540.1	NP_507526.1, NP_507528.1
OG0000932	3	6183.Smp_054790.2, 6183.Smp_176010.1	NP_495784.1
OG0000933	3	6183.Smp_055090.1	NP_510219.1, NP_510220.1
OG0000934	3	6183.Smp_055880.2, 6183.Smp_079000.1	NP_490974.1
OG0000935	3	6183.Smp_055900.3	NP_495238.2, NP_495239.2
OG0000937	3	6183.Smp_056360.8, 6183.Smp_193440.1	NP_502696.1
OG0000938	3	6183.Smp_056440.1	NP_492290.1, NP_510764.1
OG0000940	3	6183.Smp_056760.1, 6183.Smp_157700.1	NP_508778.1
OG0000942	3	6183.Smp_057530.1	NP_506850.1, NP_506851.1
OG0000943	3	6183.Smp_057620.1, 6183.Smp_159490.1	NP_502656.1
OG0000944	3	6183.Smp_058050.1, 6183.Smp_153400.1	NP_491362.1
OG0000945	3	6183.Smp_058320.1	NP_496380.1, NP_506298.1
OG0000946	3	6183.Smp_058450.1	NP_492587.1, NP_492588.1
OG0000947	3	6183.Smp_058790.1	NP_492620.1, NP_502888.2
OG0000948	3	6183.Smp_059340.1, 6183.Smp_092580.1	NP_490817.4
OG0000949	3	6183.Smp_059810.1	NP_502672.1, NP_502673.1
OG0000950	3	6183.Smp_059910.3, 6183.Smp_133380.1	NP_495593.2
OG0000951	3	6183.Smp_060860.1	NP_501315.1, NP_501316.2
OG0000953	3	6183.Smp_062070.2	NP_500688.2, NP_502729.1
OG0000954	3	6183.Smp_062560.1, 6183.Smp_068680.1	NP_500977.2
OG0000955	3	6183.Smp_062610.1, 6183.Smp_155900.1	NP_500231.1
OG0000956	3	6183.Smp_063390.1	NP_506135.2, NP_508153.1
OG0000957	3	6183.Smp_064010.1	NP_499509.2, NP_499510.2
OG0000958	3	6183.Smp_064250.1	NP_501936.1, NP_501937.1
OG0000959	3	6183.Smp_064590.1	NP_500025.1, NP_500026.1
OG0000960	3	6183.Smp_064950.1	NP_492514.2, NP_505885.2
OG0000961	3	6183.Smp_065110.1	NP_506381.1, NP_506382.1
OG0000962	3	6183.Smp_065130.2	NP_491097.3, NP_491098.1
OG0000963	3	6183.Smp_065530.1, 6183.Smp_103680.1	NP_494910.2
OG0000964	3	6183.Smp_066760.2	NP_491559.1, NP_491560.1
OG0000965	3	6183.Smp_066930.1	NP_493353.3, NP_495833.1
OG0000966	3	6183.Smp_066940.1	NP_493017.1, NP_502671.1
OG0000967	3	6183.Smp_067390.1	NP_506246.1, NP_509700.2
OG0000969	3	6183.Smp_067900.1	NP_493761.1, NP_493777.2
OG0000971	3	6183.Smp_068220.1	NP_505856.1, NP_510223.1
OG0000972	3	6183.Smp_068270.4	NP_493031.1, NP_493034.2
OG0000973	3	6183.Smp_068300.1	NP_510817.3, NP_510818.3
OG0000974	3	6183.Smp_068420.1	NP_495306.1, NP_503027.1
OG0000975	3	6183.Smp_068720.1, 6183.Smp_146810.1	NP_498535.1
OG0000976	3	6183.Smp_068950.1, 6183.Smp_212260.1	NP_492552.1
OG0000977	3	6183.Smp_069170.1	NP_509095.2, NP_509096.2
OG0000978	3	6183.Smp_070600.1	NP_500553.1, NP_508077.1
OG0000979	3	6183.Smp_071020.1	NP_506558.2, NP_510130.2
OG0000980	3	6183.Smp_071770.1	AAF39778.1, NP_499565.1
OG0000981	3	6183.Smp_071830.1	NP_498226.1, NP_499644.1
OG0000982	3	6183.Smp_071880.1	NP_500635.3, NP_508949.1
OG0000983	3	6183.Smp_071980.1, 6183.Smp_089230.1	NP_502293.2
OG0000984	3	6183.Smp_072350.1	NP_505220.2, NP_505222.1
OG0000986	3	6183.Smp_072950.1	NP_507861.1, NP_508054.1
OG0000988	3	6183.Smp_073070.1, 6183.Smp_201760.1	NP_499713.3
OG0000989	3	6183.Smp_073720.1	NP_491099.1, NP_491506.1
OG0000990	3	6183.Smp_073930.1	NP_505637.1, T19222
OG0000992	3	6183.Smp_074370.1	NP_492851.1, NP_500252.2
OG0000993	3	6183.Smp_074400.1, 6183.Smp_139020.1	NP_492471.2
OG0000995	3	6183.Smp_074620.1	NP_493372.1, NP_494912.2
OG0000996	3	6183.Smp_074930.1, 6183.Smp_169610.1	NP_499189.2
OG0000997	3	6183.Smp_074990.1, 6183.Smp_075000.1	NP_493172.2
OG0000998	3	6183.Smp_075060.1, 6183.Smp_162660.1	NP_501866.1
OG0000999	3	6183.Smp_075230.1, 6183.Smp_124090.1	NP_504620.2
OG0001000	3	6183.Smp_075690.1	NP_496753.1, NP_496787.1
OG0001001	3	6183.Smp_075870.2	NP_501868.1, NP_501869.1
OG0001002	3	6183.Smp_076550.1, 6183.Smp_086450.1	NP_507242.1
OG0001003	3	6183.Smp_076910.1	NP_496980.1, NP_502666.1
OG0001005	3	6183.Smp_078610.1	NP_506133.2, NP_506134.3
OG0001007	3	6183.Smp_079380.1	NP_505064.1, NP_505065.1
OG0001008	3	6183.Smp_079400.1	NP_491382.2, NP_497129.1
OG0001009	3	6183.Smp_080030.1, 6183.Smp_175500.1	NP_509755.2
OG0001010	3	6183.Smp_080120.2, 6183.Smp_144390.1	NP_498211.1
OG0001011	3	6183.Smp_080130.1	NP_491473.1, NP_491635.1
OG0001012	3	6183.Smp_080150.1	NP_495416.2, NP_495417.1
OG0001014	3	6183.Smp_081620.1	NP_498654.1, NP_498695.1
OG0001015	3	6183.Smp_082030.1	NP_493696.1, NP_504132.1
OG0001016	3	6183.Smp_082420.1, 6183.Smp_082430.1	NP_498671.2
OG0001017	3	6183.Smp_082990.1	NP_506278.1, NP_508859.1
OG0001018	3	6183.Smp_083400.1	NP_492482.2, NP_500272.2
OG0001019	3	6183.Smp_083650.1	NP_495449.1, NP_507053.1
OG0001020	3	6183.Smp_084050.1	NP_501860.1, NP_501861.1
OG0001021	3	6183.Smp_084090.1, 6183.Smp_148200.1	NP_492193.2
OG0001022	3	6183.Smp_084540.2	NP_502414.1, NP_502415.1
OG0001023	3	6183.Smp_084610.1	NP_493684.1, NP_509498.4
OG0001024	3	6183.Smp_084740.1	NP_495095.2, NP_497006.1
OG0001025	3	6183.Smp_085240.2	NP_494696.1, NP_496399.1
OG0001026	3	6183.Smp_085300.1	NP_494932.1, NP_494933.1
OG0001027	3	6183.Smp_085650.1	NP_508186.1, NP_508201.2
OG0001029	3	6183.Smp_087320.1	NP_505926.2, NP_505927.2
OG0001030	3	6183.Smp_087580.1, 6183.Smp_087620.1	NP_499213.1
OG0001031	3	6183.Smp_087760.1	NP_491198.1, NP_504944.2
OG0001032	3	6183.Smp_087810.1	NP_492275.2, NP_492276.2
OG0001033	3	6183.Smp_088600.1	NP_499534.1, NP_499535.2
OG0001034	3	6183.Smp_088990.1	NP_498196.1, NP_498200.1
OG0001036	3	6183.Smp_089180.1	NP_505825.1, NP_505826.1
OG0001038	3	6183.Smp_089630.1	NP_499890.2, NP_499914.1
OG0001039	3	6183.Smp_089670.1	NP_493613.2, NP_493614.1
OG0001041	3	6183.Smp_090520.1, 6183.Smp_179110.1	NP_499900.1
OG0001042	3	6183.Smp_090820.1	NP_490666.2, NP_490667.1
OG0001043	3	6183.Smp_090870.1	NP_500086.1, NP_500087.1
OG0001044	3	6183.Smp_091300.1, 6183.Smp_113660.1	NP_501490.1
OG0001045	3	6183.Smp_092390.1	NP_494789.1, NP_494790.2
OG0001046	3	6183.Smp_093370.2	NP_492252.1, P34692.3
OG0001047	3	6183.Smp_093690.2	NP_498260.2, NP_498261.1
OG0001048	3	6183.Smp_093800.1	NP_499991.1, NP_499992.1
OG0001049	3	6183.Smp_093930.2, 6183.Smp_165470.1	NP_495962.2
OG0001050	3	6183.Smp_094130.1	NP_492960.1, NP_492961.1
OG0001051	3	6183.Smp_094250.1	NP_508242.1, NP_508243.1
OG0001052	3	6183.Smp_094330.1	NP_505387.1, NP_505388.1
OG0001053	3	6183.Smp_094930.1	NP_500019.2, NP_510462.2
OG0001054	3	6183.Smp_095290.1, 6183.Smp_164740.1	NP_497759.1
OG0001055	3	6183.Smp_095350.1, 6183.Smp_165400.3	NP_509293.1
OG0001056	3	6183.Smp_095810.1	NP_493268.1, NP_493269.1
OG0001057	3	6183.Smp_096010.1	NP_498901.1, NP_498902.1
OG0001058	3	6183.Smp_096780.1	NP_497567.1, NP_497568.1
OG0001059	3	6183.Smp_097240.2, 6183.Smp_175570.1	NP_505021.1
OG0001061	3	6183.Smp_097490.1, 6183.Smp_212780.1	NP_491219.1
OG0001062	3	6183.Smp_097750.1, 6183.Smp_097800.3	NP_496366.1
OG0001063	3	6183.Smp_097830.1	NP_498274.1, NP_498275.2
OG0001064	3	6183.Smp_098650.1	NP_492747.1, NP_492749.2
OG0001065	3	6183.Smp_098920.1	NP_493797.2, NP_504635.1
OG0001066	3	6183.Smp_098960.1	NP_495823.1, NP_495824.1
OG0001068	3	6183.Smp_101370.1	NP_495474.2, NP_495478.1
OG0001070	3	6183.Smp_103320.1, 6183.Smp_128650.2	NP_499749.1
OG0001072	3	6183.Smp_104390.1, 6183.Smp_140170.1	NP_508457.3
OG0001073	3	6183.Smp_105330.1	NP_497866.2, NP_497867.2
OG0001074	3	6183.Smp_105340.1, 6183.Smp_194700.1	NP_499033.1
OG0001079	3	6183.Smp_113640.1, 6183.Smp_186670.1	NP_495838.2
OG0001080	3	6183.Smp_114470.1, 6183.Smp_136330.1	NP_509768.1
OG0001083	3	6183.Smp_119320.1, 6183.Smp_198810.1	NP_498320.1
OG0001084	3	6183.Smp_121420.1	NP_498325.1, NP_498326.1
OG0001085	3	6183.Smp_121920.1, 6183.Smp_199260.1	NP_508960.2
OG0001086	3	6183.Smp_122910.1	NP_491549.2, NP_491552.2
OG0001087	3	6183.Smp_123300.1, 6183.Smp_155050.1	NP_495384.3
OG0001088	3	6183.Smp_123410.2	NP_494761.1, NP_494765.2
OG0001089	3	6183.Smp_123490.1	NP_492480.1, NP_510010.2
OG0001090	3	6183.Smp_123650.1	NP_505187.1, NP_505188.3
OG0001091	3	6183.Smp_123750.1	NP_510355.1, NP_510553.1
OG0001092	3	6183.Smp_123810.1	NP_506316.1, NP_506317.2
OG0001094	3	6183.Smp_124010.1	NP_507873.3, NP_507874.3
OG0001095	3	6183.Smp_124130.1, 6183.Smp_141440.1	NP_505823.1
OG0001096	3	6183.Smp_124230.1, 6183.Smp_160630.1	NP_501887.2
OG0001098	3	6183.Smp_124340.1, 6183.Smp_162060.1	NP_495680.1
OG0001099	3	6183.Smp_124730.1	NP_493826.1, NP_509285.2
OG0001100	3	6183.Smp_124780.1, 6183.Smp_135110.1	NP_492644.2
OG0001101	3	6183.Smp_125070.2	NP_494215.2, NP_509686.2
OG0001103	3	6183.Smp_125270.1, 6183.Smp_206070.1	NP_510460.2
OG0001104	3	6183.Smp_125550.1	NP_496328.2, NP_496329.2
OG0001105	3	6183.Smp_125640.1, 6183.Smp_148320.1	NP_492422.2
OG0001106	3	6183.Smp_125770.2, 6183.Smp_130170.1	NP_492717.1
OG0001107	3	6183.Smp_126310.1	NP_492521.1, NP_492522.1
OG0001108	3	6183.Smp_126640.1	NP_492535.1, NP_492536.2
OG0001109	3	6183.Smp_126730.1, 6183.Smp_148210.1	NP_508474.1
OG0001110	3	6183.Smp_126840.1	NP_498483.1, NP_498484.1
OG0001111	3	6183.Smp_126850.2	NP_491793.1, NP_491794.1
OG0001112	3	6183.Smp_127250.1	NP_498617.2, NP_498618.1
OG0001113	3	6183.Smp_127310.1, 6183.Smp_127720.1	NP_505478.2
OG0001116	3	6183.Smp_127780.1, 6183.Smp_140100.1	NP_490786.2
OG0001117	3	6183.Smp_127840.1	NP_491956.1, NP_491957.1
OG0001118	3	6183.Smp_128130.1	NP_491741.1, NP_491742.1
OG0001119	3	6183.Smp_128150.1	NP_499448.1, NP_499449.1
OG0001120	3	6183.Smp_128200.2	NP_500918.2, NP_500919.1
OG0001121	3	6183.Smp_128330.1	NP_494724.1, NP_508865.1
OG0001122	3	6183.Smp_128350.1	NP_492723.1, NP_495902.1
OG0001123	3	6183.Smp_128750.1, 6183.Smp_157020.1	NP_491290.2
OG0001125	3	6183.Smp_129060.1, 6183.Smp_175010.1	NP_499023.3
OG0001126	3	6183.Smp_129080.1	NP_492352.1, NP_509152.1
OG0001127	3	6183.Smp_129480.1	NP_492696.1, NP_501931.1
OG0001129	3	6183.Smp_129650.1	NP_492680.1, NP_492681.1
OG0001130	3	6183.Smp_129990.1	NP_508208.2, NP_508209.1
OG0001133	3	6183.Smp_130460.1	NP_491079.2, NP_491080.2
OG0001134	3	6183.Smp_130480.1, 6183.Smp_207030.1	NP_508988.3
OG0001135	3	6183.Smp_130690.1, 6183.Smp_132000.1	NP_501888.2
OG0001136	3	6183.Smp_130920.1	NP_491908.2, NP_491909.2
OG0001137	3	6183.Smp_131000.1	NP_498400.1, NP_498401.2
OG0001138	3	6183.Smp_131420.1, 6183.Smp_203220.1	NP_495787.2
OG0001140	3	6183.Smp_131900.1	NP_495175.1, NP_495176.1
OG0001141	3	6183.Smp_132050.1, 6183.Smp_161080.1	NP_493555.1
OG0001142	3	6183.Smp_132080.1, 6183.Smp_171870.1	NP_498960.2
OG0001143	3	6183.Smp_132370.1	NP_497732.1, NP_497733.1
OG0001144	3	6183.Smp_132740.1	NP_501751.1, NP_501752.1
OG0001145	3	6183.Smp_132930.1, 6183.Smp_169170.1	NP_493512.1
OG0001146	3	6183.Smp_133300.1	NP_496958.2, NP_497091.2
OG0001147	3	6183.Smp_134140.1	NP_495600.1, NP_495601.1
OG0001148	3	6183.Smp_134430.1	NP_493560.1, NP_510672.2
OG0001149	3	6183.Smp_134790.1	NP_492019.2, NP_508727.1
OG0001150	3	6183.Smp_134940.1	NP_496845.2, NP_496846.1
OG0001152	3	6183.Smp_135510.1	NP_508085.2, NP_509928.3
OG0001153	3	6183.Smp_135570.1	NP_495681.4, NP_495682.1
OG0001154	3	6183.Smp_135870.1	NP_502420.2, NP_502421.1
OG0001155	3	6183.Smp_135910.1, 6183.Smp_166940.1	NP_510607.2
OG0001156	3	6183.Smp_136210.1	NP_492941.2, NP_506092.1
OG0001157	3	6183.Smp_136240.6	NP_491704.1, NP_505251.2
OG0001158	3	6183.Smp_136300.1, 6183.Smp_172200.1	NP_490866.4
OG0001159	3	6183.Smp_136570.1	NP_501646.1, NP_501647.2
OG0001162	3	6183.Smp_136910.1	NP_502126.1, NP_502648.2
OG0001164	3	6183.Smp_137150.1	NP_493548.1, NP_510342.1
OG0001165	3	6183.Smp_137170.1	NP_500293.1, NP_500294.2
OG0001166	3	6183.Smp_137520.1	NP_493968.1, NP_495741.2
OG0001167	3	6183.Smp_137540.1	AAF39776.2, NP_499564.2
OG0001168	3	6183.Smp_137610.1	NP_491516.1, NP_497672.2
OG0001169	3	6183.Smp_138150.1	NP_497694.3, NP_497695.3
OG0001170	3	6183.Smp_138300.1, 6183.Smp_174630.1	NP_492404.1
OG0001171	3	6183.Smp_138400.1	NP_501748.1, NP_501749.1
OG0001173	3	6183.Smp_138620.1	NP_492995.1, NP_492996.1
OG0001174	3	6183.Smp_138860.1	NP_494570.1, NP_494571.1
OG0001175	3	6183.Smp_139190.1	NP_492217.2, NP_492218.1
OG0001176	3	6183.Smp_139410.1, 6183.Smp_156150.1	NP_492234.2
OG0001177	3	6183.Smp_139480.1	NP_494806.1, NP_494807.1
OG0001178	3	6183.Smp_139510.1	NP_496226.2, NP_496227.2
OG0001180	3	6183.Smp_140560.1	NP_493466.2, NP_494378.1
OG0001181	3	6183.Smp_140950.1	NP_499675.1, NP_499677.1
OG0001182	3	6183.Smp_141230.1	NP_502492.2, NP_502494.1
OG0001183	3	6183.Smp_141280.1, 6183.Smp_162450.1	NP_497603.3
OG0001184	3	6183.Smp_142180.1	NP_501496.2, NP_501508.2
OG0001185	3	6183.Smp_142220.1, 6183.Smp_144450.1	NP_493049.2
OG0001186	3	6183.Smp_142250.1, 6183.Smp_194390.1	NP_493574.2
OG0001187	3	6183.Smp_142360.1, 6183.Smp_197280.1	NP_497500.1
OG0001188	3	6183.Smp_142620.1	NP_491378.1, NP_491379.3
OG0001189	3	6183.Smp_142970.1, 6183.Smp_142980.1	NP_504684.2
OG0001190	3	6183.Smp_142990.1	NP_510710.2, NP_510711.2
OG0001191	3	6183.Smp_143300.1	NP_499007.1, NP_499014.1
OG0001194	3	6183.Smp_144000.1, 6183.Smp_144010.1	NP_497618.1
OG0001195	3	6183.Smp_144030.1	NP_501297.1, NP_501298.1
OG0001196	3	6183.Smp_144600.1, 6183.Smp_156500.1	NP_508893.1
OG0001197	3	6183.Smp_144870.1	NP_498204.1, NP_498205.1
OG0001198	3	6183.Smp_144960.1, 6183.Smp_149080.1	NP_498407.1
OG0001199	3	6183.Smp_144990.1	NP_492226.2, NP_492227.1
OG0001200	3	6183.Smp_145020.1	NP_510132.2, NP_510133.2
OG0001201	3	6183.Smp_145420.1	NP_497001.4, NP_500018.3
OG0001202	3	6183.Smp_145540.1, 6183.Smp_152540.1	NP_498383.1
OG0001203	3	6183.Smp_145670.1	NP_493463.1, NP_493464.1
OG0001204	3	6183.Smp_145720.1, 6183.Smp_206040.1	NP_500377.1
OG0001205	3	6183.Smp_145900.1	NP_493549.1, NP_501256.1
OG0001206	3	6183.Smp_146200.2	NP_496776.1, NP_496777.2
OG0001208	3	6183.Smp_146360.1, 6183.Smp_177240.1	NP_508973.3
OG0001209	3	6183.Smp_146790.1	NP_497265.1, NP_504709.1
OG0001210	3	6183.Smp_146840.1, 6183.Smp_151310.1	NP_509165.1
OG0001211	3	6183.Smp_147020.1	NP_502416.1, NP_502417.1
OG0001212	3	6183.Smp_147230.1	NP_490774.2, NP_490775.1
OG0001213	3	6183.Smp_147300.1	NP_495054.1, NP_495055.1
OG0001214	3	6183.Smp_147840.1	NP_508491.1, NP_508492.1
OG0001216	3	6183.Smp_147950.1, 6183.Smp_164080.1	NP_491384.3
OG0001217	3	6183.Smp_148010.1	NP_501060.1, NP_501061.2
OG0001219	3	6183.Smp_148250.1	NP_497814.3, NP_497817.2
OG0001220	3	6183.Smp_148400.1	NP_494795.2, NP_494796.2
